f1,p,r,acc,train_data_dir,model,share_rep_weights,bidirectional,cell_type,hidden_size,num_layers,dropout_keep_prob,l2_reg_lambda,Optimizer,learning_rate,batch_size,num_epochs,w2v_type,additional_conf
0.4843,0.5304,0.4604,0.5638,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,RNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{}
0.5118,0.5089,0.5194,0.5619,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,RNN,TRUE,FALSE,BasicLSTM,50,1,0.5,0,AdaOptimizer,0.001,64,20,bert,{}
0.4631,0.4880,0.4477,0.5416,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,CNN,True,False,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{}
0.4762,0.5008,0.4614,0.5564,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,RNN,True,False,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{}
0.4950,0.5158,0.4856,0.5638,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,RNN,True,True,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{}
0.4631,0.4880,0.4477,0.5416,/home/dejian/end-to-end-discourse-parser/data/gen_my_four_sen/imp,CNN,True,False,BasicLSTM,50,1,0.5,0.0,AdaOptimizer,0.001,64,20,bert,{}
